kod_kreskowy,nazwa_produktu,opis,cena
,Hologram WYPRZEDA¯,"4,88",07-H
,"Konfetti, Serca 5szt","2,60",128-SERCA
,Kolorowy sznurek z drucikiem,"4,98",166 02-5M
,"Girlanda cienka, 5 szt","0,69",167-
,"Girlanda cienka, 22 szt","6,90",167-22
,"Sznurek papierowy, kolorowy z drucikiem","46,40",1764-CZARNY
,"Sznurek papierowy, kolorowy z drucikiem","46,40",1764-GRANATOWY
,"Sznurek kolorowy, papierowy z drucikiem","0,36",1764M-CZARNY
,"Sznurek kolorowy, papierowy z drucikiem","0,36",1764M-GRANATOWY
,"Sznurek kolorowy, papierowy z drucikiem","0,36",1764M-ORANGE
,"Sznurek kolorowy, papierowy z drucikiem","0,36",1764M-PINK
,"Sznurek kolorowy, papierowy z drucikiem","0,36",1764M-RÓ¯OWY
,"Sznurek kolorowy, papierowy z drucikiem","0,36",1764M-TERRACOTTA
,"Sznurek papierowy, kolorowy z drucikiem","46,40",1764-PINK
,"Sznurek papierowy, kolorowy z drucikiem","46,40",1764-RÓ¯OWY
,"Sznurek papierowy, kolorowy z drucikiem","46,40",1764-TERRACOTTA
,"Wst¹¿ka z drucikiem, Gwiazdki","1,50",192561-800-63
,"Wst¹¿ka dekoracyjna, z³ote go³¹bki","5,36",217/40/10
,"Wst¹¿ka ORGANDY, fioletowa","1,25",22050/490/25
,Wst¹¿ka dekoracyjna RUSTICA,"2,93",22068/607/40
,"Wst¹¿ka dekoracyjna TAFT LUREX, granatowa","1,60",22075/590/25
,"Wst¹¿ka ANGELIQE, niebieska","2,22",22095/570/25
,"Wst¹¿ka ANGELIQE, bia³a","2,70",22095/607/40
,"Wst¹¿ka ripsowa, br¹zowa","2,90",22380/668/40
,"Wst¹¿ka dekoracyjna, B³êkitne ró¿e","3,80",237/40/41
,"Wst¹¿ka dekoracyjna TOUCH FLOR, ¿ó³ta","2,85",296/40/20
,"Wst¹¿ka dekoracyjna, srebrne romby","5,36",303/40/13
,"Wst¹¿ka dekoracyjna, z³ote bombki","2,05",30569/419/40
,Wst¹¿ka dekoracyjna ROMANCE,"3,04",31109/3/40
,Wst¹¿ka dekoracyjna ROMANCE,"3,04",31109/4/40
,"Wst¹¿ka dekoracyjna, srebrne œnie¿ynki","3,08",31329/100/40
,"Wst¹¿ka dekoracyjna, granatowa w gwiazdki","5,23",31597/8779/67
,"Wst¹¿ka dekoracyjna, srebrne paski","5,36",317/40/13
,"Wst¹¿ka dekoracyjna, granatowa","0,95",323/04/42
,"Wst¹¿ka dekoracyjna, fioletowa","1,56",33826/4512/38
,"Wst¹¿ka dekoracyjna FESTIVE CHECK, niebieska","2,50",34217/110/40
,Wst¹¿ka dekoracyjna LAMETA FANT. 40mm,"1,90",34306/201/40
,Wst¹¿ka dekoracyjna BIJOU,"1,50",34336/200/25
,"Wst¹¿ka dekoracyjna, srebrna w kwadraciki","1,76",367/15/13
,"Wst¹¿ka dekoracyjna, granatowa","2,45",37696/13/25
,"Wst¹¿ka dekoracyjna, zielona","2,45",38060/969/25
,"Wst¹¿ka dekoracyjna, srebrna","2,95",38658/100/40
,"Wst¹¿ka dekoracyjna, srebrna","5,80",38658/100/70
,"Wst¹¿ka dekoracyjna, zielona","2,14",38705/455/25
,"Wst¹¿ka dekoracyjna, granatowa","2,68",38725/13/25
,"Wst¹¿ka dekoracyjna, zielono-z³ota","2,10",38768/24/25
,Wst¹¿ka dekoracyjna,"2,66",38773/223/40
,Drucik oplatany,"2,25",38775/13/3
,"Wst¹¿ka dekoracyjna, paski z³oto-srebrno-miedziane","3,17",38778/1/40
,"Wst¹¿ka dekoracyjna, granatowa","2,72",39401/13/40
,"Wst¹¿ka, konik na biegunach","0,80",413332-050
,Wst¹¿ka ¿ó³ta ze z³ot¹ nitk¹,"0,80",422725-290-25
5902487909812,Pere³ki szklane do dekoracji ok. 10g,"2,60",426-
,"Wst¹¿ka z drucikiem, lila/zieleñ","1,50",426060-807-70
,Wst¹¿ka oliwka ze z³ot¹ nitk¹,"0,80",426725-800-25
,Wst¹¿ka zielona z kolorowa nitk¹,"0,80",426825-800
,Wst¹¿ka drukowana,"0,80",457077-508
,"Wst¹¿ka,Awangarda (22058-7)","1,90",483650-050-70
,Wst¹¿ka Awangarda,"1,90",483675-050-50
,"Wst¹¿ka dekoracyjna BASIC, b³êkitna","0,46",500/15/43
,"Termometr, 90x20mm","3,88",50203
,"Wst¹¿ka at³asowa 20m, granatowa","6,00",505/1037/3
,"Barometr, œrednica 65mm","26,60",7101651
,"Barometr, œrednica 85mm","28,10",7101851
,"Termometr, œrednica 65mm","24,50",7102651
,Higrometr œrednica 65mm,"17,80",7103651
,Taœma a¿urowa,"4,90",78331
,Wst¹¿ka dekoracyjna,"4,14",7884
,Wst¹¿ka dekoracyjna 2m/rolka,"2,67",920-RO
,Przesy³ka ALLEGRO ONE,"8,93",ALLEGRO ONE
,Analiza rynku/Marktanalyse/Market analysis,"0,00",ANALIZA RYNKU
,Badania etykiet firmy HERMA/ Examination of HERMA labels,"0,00",BADANIA ETYKIET
,Us³uga ciêcia etykiet,"98,00",CIÊCIE ETYKIET
,Przesy³ka kurierska DHL,"12,19",DHL ALLEGRO
,Przesy³ka kurierska DPD,"17,00",DPD
,Przesy³ka kurierska DPD,"12,19",DPD ALLEGRO
,Przesy³ka kurierska DPD POBRANIE,"4,06",DPD ALLEGRO+
,Przesy³ka kurierska DPD POBRANIE,"19,50",DPD+
,Us³uga darmowej dostawy w ramach programu Premium 01/272630/25,"58,62",EMPIK PREMIUM
,Przesy³ka PACZKOMAT,"15,44",INPOST
,Przesy³ka PACZKOMAT POBRANIE,"11,37",INPOST+
,Kaszerowanie papieru bawe³nianego,"4 480,00",KASZEROWANIE
,"Rozpakowanie, pakowanie, etykietowanie artyku³ów kreatywnych/Creative articles packaging, labelling, dispatching","0,00",KONFEKCJONOWANIE_US£UGA
,Licencja Microsoft Office 365,"117,60",MICROSOFT OFFICE 365
,Nissan Note,"8 130,00",NISSAN NOTE
,Przesy³ka ORLEN PACZKA,"8,12",ORLEN PACZKA
,Pierœcieñ plast.,"1,75",PIERŒCIEÑ
,"Przesy³ka polecona ""Priorytet""","5,97",PLP
,Przesy³ka pocztowa,"5,97",PP
,Przesy³ka pocztowa + pobranie,"17,00",PP+
,Taœma woskowo-¿ywiczna,"80,00",PP-203
,Przesy³ka kurierska GLS,"17,00",PPG
,Przesy³ka kurierska Litwa,"131,25",PPG_LITWA
,Przesy³ka kurierska Niemcy,"112,50",PPG_NIEMCY
,Przesy³ka kurierska GLS POBRANIE,"19,50",PPG+
,Prowizja. Dzia³ania marketingowe - 2024/ Marketing support -2024/ Marketingunterstuetzung 2024,"0,00",PROWIZJA
,Prowizja kwartalna I kw. 2025/Commission statement 1. Qu. 2025/ Marketingunterstuetzung 1. Qu. 2025,"0,00",PROWIZJA KW
